Question ID,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Index,Issues Found
command-reference-drills-6,Check mTLS mode between two services?,Istioctl authn tls-check <source-pod> <destination-service>,Kubectl get peerauthentication,Check logs service,110,1,LENGTH: Correct answer is 3.5x longer than distractors
config-patterns-drills-0,ConfigMap vs Secret vs ExternalSecret - when to use each?,A web server software,"ConfigMap: non-sensitive config, Secret: sensitive static, ExternalSecret: sensitive dynamic/rotated",5432,636,2,LENGTH: Correct answer is 10.7x longer than distractors | FORMAT: Only correct answer contains punctuation | OBVIOUS: 2 distractors seem unrelated to question
config-patterns-drills-1,How to reload app config without pod restart?,A persistent storage volume,"File watch on mounted ConfigMap + app reload logic, or webhook/polling",A service endpoint,A persistent storage volume,2,"LENGTH: Correct answer is 2.9x longer than distractors | FORMAT: Only correct answer contains punctuation; Distractors all start with 'A', correct doesn't"
config-patterns-drills-2,Secret rotation with ESO - what happens to pods?,Pods crash immediately,"Secret updates, pods need restart or app must reload",A persistent storage volume,A service endpoint,2,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains punctuation
config-patterns-drills-3,12-factor app config principle?,5672,"Store config in environment variables, strict separation from code","TCP is connectionless, UDP is connection-oriented",Database for most config,2,LENGTH: Correct answer is 2.6x longer than distractors
configmap-secret-drills-1,Create Secret for Docker registry?,kubectl create secret docker <name>,kubectl create secret docker-registry <name> --docker-username=<> --docker-password=<> --docker-server=<>,kubectl secret registry <name>,kubectl add docker-secret <name>,2,LENGTH: Correct answer is 3.2x longer than distractors
configmap-secret-drills-2,Mount ConfigMap as environment variables?,envFrom: configMapRef: name: <configmap>,env: configMap: <name>,environment: fromConfigMap: <name>,useConfigMap: <name>,1,LENGTH: Correct answer is 1.6x longer than distractors
configmap-secret-drills-3,Update ConfigMap without pod restart?,A service endpoint,"Mount as volume, implement file watch in app",Set autoReload: true,Use updatePolicy: auto,2,LENGTH: Correct answer is 2.2x longer than distractors
configmap-secret-drills-4,Decode base64 secret value?,kubectl get secret <name> -o jsonpath='{.data.<key>}' | base64 -d,kubectl decode secret <name>,kubectl get secret <name> --decode,kubectl secret decode <name>,1,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
container-debugging-drills-2,Container can't connect to another container. Check?,Docker network ls && docker inspect <container> | grep -i network,Check firewall rules,A cloud deployment unit,A lightweight virtual machine,1,LENGTH: Correct answer is 2.7x longer than distractors
container-debugging-drills-3,OOMKilled container. See memory limit?,Docker inspect <container> | grep -i memory,Docker stats --no-stream <container>,Both A and B,Docker memory <container>,3,"LENGTH: Correct answer is 0.3x shorter than distractors | FORMAT: Distractors all start with 'Docker', correct doesn't | SEMANTIC: Correct answer appears more comprehensive/complete"
container-debugging-drills-4,Debug container that has no shell?,Can't debug without shell,Docker run --rm -it --pid=container:<container> --net=container:<container> nicolaka/netshoot,Copy shell binary into container,A cloud deployment unit,2,LENGTH: Correct answer is 3.5x longer than distractors | FORMAT: Only correct answer contains punctuation
container-debugging-drills-5,Container storage full. Find large files?,Docker exec <container> du -sh /* | sort -h,Docker exec <container> find / -size +100M and extensions,Both A and B useful,Docker storage <container> and extensions,3,"LENGTH: Correct answer is 0.4x shorter than distractors | FORMAT: Distractors all start with 'Docker', correct doesn't"
container-debugging-drills-6,Permission denied errors in container?,Check USER in Dockerfile and file ownership,Run as root with --user root,Check security options and AppArmor/SELinux,All of the above,4,LENGTH: Correct answer is 0.4x shorter than distractors
containers-orchestration-0,What is the difference between a Docker image and a container?,A They are the same thing,"An image is a template, a container is a running instance of an image",A container is smaller than an image,"An image runs applications, a container stores them",2,LENGTH: Correct answer is 1.8x longer than distractors
containers-orchestration-1,What is a Kubernetes Pod?,A service mesh implementation with integrated features,The smallest deployable unit can contain one or more containers,A service mesh implementation with integrated features,A cloud provider service,2,"FORMAT: Distractors all start with 'A', correct doesn't"
containers-orchestration-10,What is a Kubernetes DaemonSet?,A background process manager and extensions,An Ensures a copy of a pod runs on all nodes,A scheduling algorithm and extensions,A container registry and extensions,2,"FORMAT: Distractors all start with 'A', correct doesn't"
containers-orchestration-11,What is the purpose of a Kubernetes Service?,To run background tasks service,To provide a stable endpoint for accessing a set of pods,To deploy applications service,To manage secrets service,2,LENGTH: Correct answer is 2.0x longer than distractors
containers-orchestration-13,What is Helm in Kubernetes?,A service mesh implementation,A package manager for Kubernetes applications,A CI/CD pipeline tool,A Docker container runtime,2,LENGTH: Correct answer is 1.8x longer than distractors
containers-orchestration-14,What is the purpose of init containers in Kubernetes?,To initialize the cluster,Specialized containers run before app containers in a pod,To create persistent volumes,To manage network initialization,2,"LENGTH: Correct answer is 2.0x longer than distractors | FORMAT: Distractors all start with 'To', correct doesn't"
containers-orchestration-2,What is the purpose of a Dockerfile?,To run Docker commands,To define instructions for building a Docker image,To configure Docker daemon,To store Docker credentials,2,LENGTH: Correct answer is 2.0x longer than distractors
containers-orchestration-3,What is container orchestration primarily used for?,Building container images and extensions,"Managing, scaling, and deploying containers across hosts",Creating virtual machines and extensions,Compiling source code and extensions,2,FORMAT: Only correct answer contains punctuation
containers-orchestration-4,What is a Kubernetes StatefulSet?,A set of environment variables,A workload for stateful applications with persistent storage and ordered deployment,A type of load balancer and extensions,A cloud provider service,2,LENGTH: Correct answer is 2.7x longer than distractors
containers-orchestration-5,What is the purpose of Docker Compose?,To compress Docker images,To define and run multi-container applications,To compose music in Docker,To merge multiple Dockerfiles,2,LENGTH: Correct answer is 1.7x longer than distractors
containers-orchestration-6,What is a Kubernetes Ingress?,A CI/CD pipeline tool and associated utilities,"An API object manages external access to services, typically HTTP/HTTPS",A CI/CD pipeline tool and associated utilities,A CI/CD pipeline tool,2,"LENGTH: Correct answer is 1.9x longer than distractors | FORMAT: Only correct answer contains punctuation; Distractors all start with 'A', correct doesn't"
containers-orchestration-7,What is the difference between CMD and ENTRYPOINT in a Dockerfile?,A virtual machine hypervisor,"ENTRYPOINT sets the executable, CMD provides default arguments",CMD is faster than ENTRYPOINT,ENTRYPOINT is deprecated,2,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains punctuation
containers-orchestration-8,What is a Kubernetes ConfigMap?,A geographic map of clusters,An object to store non-sensitive configuration data,A network topology diagram,A cloud provider service,2,"LENGTH: Correct answer is 2.0x longer than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
containers-orchestration-9,What is Docker Swarm?,A bug in Docker and extensions,A Docker's native clustering and orchestration solution,A Docker image registry and extensions,A Docker networking plugin,2,LENGTH: Correct answer is 1.8x longer than distractors
database-advanced-0,What is database normalization?,Making most databases the same,Organizing data to reduce redundancy and improve integrity,Converting to normal text format,Standardizing database names,2,LENGTH: Correct answer is 1.9x longer than distractors
database-advanced-1,What is a database index?,A transaction log format,A data structure improves query performance,A database backup,A list of most tables,2,LENGTH: Correct answer is 2.1x longer than distractors
database-advanced-2,What is ACID in database transactions?,A type of database,"An Atomicity, Consistency, Isolation, Durability",A replication event,A database trigger,2,"LENGTH: Correct answer is 2.6x longer than distractors | FORMAT: Only correct answer contains punctuation; Distractors all start with 'A', correct doesn't"
database-advanced-3,What is the difference between SQL and NoSQL databases?,"SQL (Structured Query Language) is older, NoSQL (Structured Query Language) is newer","SQL uses structured schemas and relations, NoSQL is more flexible",NoSQL doesn't support queries,SQL (Structured Query Language) is faster than NoSQL (Structured Query Language),2,SEMANTIC: Correct answer appears more comprehensive/complete
database-advanced-5,What is database connection pooling?,Sharing database passwords,Reusing database connections to reduce overhead,Connecting multiple databases,Creating backup connections,2,LENGTH: Correct answer is 1.7x longer than distractors
database-advanced-6,What is a deadlock in databases?,A query execution plan,A When two or more transactions wait for each other indefinitely,A query language standard,A schema migration tool,2,LENGTH: Correct answer is 2.7x longer than distractors
database-advanced-7,What is the purpose of database replication?,A schema migration tool,To maintain copies of data for availability and performance,To create test databases,A replication protocol and related standards,2,LENGTH: Correct answer is 1.9x longer than distractors
database-advanced-8,What is a stored procedure?,A transaction protocol,A Pre-compiled SQL code stored in the database,A way to store files,A transaction protocol,2,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains technical notation
database-advanced-9,What is the N+1 query problem?,Running too many queries,When fetching a list requires 1 query for the list and N queries for related data,A mathematical problem,A query optimization technique and extensions,2,LENGTH: Correct answer is 2.7x longer than distractors
database-backup-drills-0,Point-in-time recovery requires?,A schema update,Full backup + incremental/WAL archives,A cache refresh,A schema migration tool,2,"LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains technical notation; Distractors all start with 'A', correct doesn't | OBVIOUS: 2 distractors seem unrelated to question"
database-backup-drills-1,PostgreSQL: Online backup command?,"Pg_dump for logical, pg_basebackup for physical",BACKUP DATABASE,A database migration tool,A database migration tool,1,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
database-backup-drills-2,Test backup reliability?,A cache refresh,Regularly restore to test environment and verify,A data migration and extensions,A database trigger and extensions,2,"LENGTH: Correct answer is 1.8x longer than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
database-backup-drills-3,RPO vs RTO in database context?,"RPO: max data loss tolerance, RTO: max downtime tolerance",A relational database type,"RPO: recovery time, RTO: data loss",A table partition,1,LENGTH: Correct answer is 2.2x longer than distractors
database-design-drills-1,UUID vs auto-increment primary key?,"UUID: distributed generation, no conflicts. Auto-increment: smaller, sequential",typically use UUID,typically use auto-increment and extensions,A query execution plan and extensions,1,LENGTH: Correct answer is 2.4x longer than distractors | FORMAT: Only correct answer contains punctuation | SEMANTIC: Multiple distractors use absolute terms (often wrong)
database-design-drills-4,Time-series data optimization?,Regular table with timestamp index,"Partitioning by time range, compress old partitions",NoSQL (Structured Query Language) primarily,In-memory database primarily,2,FORMAT: Only correct answer contains punctuation
database-design-drills-5,Hierarchical data in SQL?,A replication protocol,A data serialization format and extensions,A data serialization format,All work with tradeoffs,4,"FORMAT: Distractors all start with 'A', correct doesn't"
database-design-drills-6,Database migration strategy?,Direct ALTER TABLE in production,Blue-green deployment with schema changes,"Expand-contract: add column, migrate data, drop old",C for zero-downtime,4,LENGTH: Correct answer is 0.5x shorter than distractors
database-patterns-0,What is Database Connection Pooling?,Swimming pool for databases,Reusing a pool of database connections instead of creating new ones for each request,Pooling data together,A schema migration tool,2,LENGTH: Correct answer is 3.5x longer than distractors
database-patterns-1,What is the difference between SQL and NoSQL databases?,SQL (Structured Query Language) is faster,"SQL has structured schemas and ACID properties, NoSQL is flexible and scales horizontally",NoSQL (Structured Query Language) is typically better and extensions,A data serialization format,2,LENGTH: Correct answer is 2.0x longer than distractors | FORMAT: Only correct answer contains punctuation
database-patterns-2,What is Database Indexing?,Numbering database rows,Creating data structures to improve query performance at the cost of storage and write speed,Organizing databases alphabetically,Backing up databases,2,LENGTH: Correct answer is 3.5x longer than distractors
database-patterns-3,What is ACID in databases?,A chemical substance,"Atomicity, Consistency, Isolation, Durability - transaction properties",A schema migration tool,API Configuration In Databases,2,LENGTH: Correct answer is 2.9x longer than distractors | FORMAT: Only correct answer contains punctuation
database-patterns-4,What is Database Normalization?,Making databases normal,Organizing data to reduce redundancy and improve data integrity,Converting to NoSQL (Structured Query Language) and extensions,Database backup and extensions,2,LENGTH: Correct answer is 1.6x longer than distractors
database-patterns-5,What is an ORM?,Object Relational Mapping - abstracting database operations into object-oriented code,Online Resource Manager,Operational Risk Management,A NoSQL query language,1,LENGTH: Correct answer is 3.5x longer than distractors
database-patterns-6,What is Database Sharding?,Breaking the database and extensions,Horizontally partitioning data across database instances,Database backup and extensions,A SQL optimization technique and extensions,2,LENGTH: Correct answer is 1.5x longer than distractors
database-performance-drills-0,PostgreSQL: Find slow queries?,Pg_stat_statements extension and extensions,Log_min_duration_statement setting,Pg_stat_activity view and extensions,All are useful,4,LENGTH: Correct answer is 0.4x shorter than distractors
database-performance-drills-2,Connection pool exhaustion symptoms?,"Timeout errors, increased latency, connection wait spikes",CPU (Central Processing Unit) 100%,A transaction log,A schema migration tool,1,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains punctuation
database-performance-drills-3,Database cache warming?,Preload frequently accessed data into cache after restart,Increase temperature,Disable cache,A data serialization format,1,LENGTH: Correct answer is 2.9x longer than distractors
database-performance-drills-4,Batch insert optimization?,"INSERT VALUES,, in single statement",Prepared statements with batch execution,COPY/LOAD DATA INFILE for bulk loads,All are optimizations,4,LENGTH: Correct answer is 0.6x shorter than distractors
database-security-drills-0,Prevent SQL injection - best practice?,A database replication attack,Parameterized queries/prepared statements,Validate input types,Remove special characters,2,LENGTH: Correct answer is 1.7x longer than distractors
database-security-drills-1,Database encryption at rest vs in transit?,"At rest: TDE/disk encryption, In transit: TLS/SSL",Both use TLS (Transport Layer Security),Both use disk encryption,A digital signature,1,LENGTH: Correct answer is 1.8x longer than distractors | FORMAT: Only correct answer contains punctuation
database-security-drills-2,Principle of least privilege implementation?,Give admin to trusted users,Create roles with minimum required permissions,One account for most apps,Grant most permissions then revoke,2,LENGTH: Correct answer is 1.6x longer than distractors | SEMANTIC: Correct answer appears more comprehensive/complete
database-security-drills-3,Database audit logging should capture?,A query language standard,A data migration,"Who, what, when, where for sensitive operations",A transaction log format,3,"LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation; Distractors all start with 'A', correct doesn't"
database-security-drills-5,Database credential rotation strategy?,rarely change passwords,"Dual credentials: create new, update apps, remove old",A database trigger,Annual rotation,2,LENGTH: Correct answer is 2.8x longer than distractors | FORMAT: Only correct answer contains punctuation
database-transactions-drills-0,Prevent dirty reads but allow non-repeatable reads?,A database trigger,READ COMMITTED,A database backup file,A SQL optimization technique,2,"LENGTH: Correct answer is 0.6x shorter than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
database-transactions-drills-1,Deadlock detection - PostgreSQL approach?,Waits forever approach,Automatic detection and kills one transaction,Manual intervention required,Prevents most locks approach,2,LENGTH: Correct answer is 1.7x longer than distractors | SEMANTIC: Correct answer appears more comprehensive/complete
database-transactions-drills-2,Optimistic vs Pessimistic locking?,"Optimistic uses version/timestamp, Pessimistic uses locks",A schema migration tool,Optimistic is typically better,A relational database type,1,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
database-transactions-drills-3,Two-phase commit coordinator failure handling?,Transaction automatically commits,Transaction automatically rolls back,Participants must wait or use heuristic decision,A table partition,3,LENGTH: Correct answer is 1.7x longer than distractors | SEMANTIC: Multiple distractors use absolute terms (often wrong)
database-transactions-drills-4,MVCC in PostgreSQL means?,Version Concurrency Control - readers don't block writers,Main Version Control Center,Memory Virtual Cache Control,Multi-Value Column Constraint,1,LENGTH: Correct answer is 2.0x longer than distractors
database-transactions-drills-5,SELECT FOR UPDATE SKIP LOCKED use case?,1433,Job queue processing - grab next available job,A network routing protocol,A load balancing algorithm,2,LENGTH: Correct answer is 2.5x longer than distractors
database-transactions-drills-6,Phantom reads prevented at which isolation level?,A query language standard,A schema update,A stored procedure,SERIALIZABLE,4,"LENGTH: Correct answer is 0.6x shorter than distractors | FORMAT: Only correct answer contains technical notation; Distractors all start with 'A', correct doesn't | OBVIOUS: 2 distractors seem unrelated to question"
debugging-drills-1,Istio not routing traffic. Check order?,1) Sidecar injected? 2) VirtualService matches? 3) DestinationRule subsets? 4) Service selector?,Just check logs,Restart Istio,Check CPU (Central Processing Unit) usage,1,LENGTH: Correct answer is 4.2x longer than distractors | FORMAT: Only correct answer contains punctuation
debugging-drills-2,ExternalSecret shows 'SecretSyncError'. Next step?,Delete the ExternalSecret,Kubectl describe externalsecret <name> for detailed error,Restart ESO operator,3306,2,LENGTH: Correct answer is 3.5x longer than distractors
debugging-drills-3,Canary deployment showing errors. Rollback command?,kubectl rollout undo deployment,"kubectl patch virtualservice <name> --type='json' -p='[{""op"":""replace"",""path"":""/spec/http/0/route/0/weight"",""value"":100},{""op"":""replace"",""path"":""/spec/http/0/route/1/weight"",""value"":0}]'",kubectl delete deployment v2,kubectl scale deployment v2 --replicas=0,2,LENGTH: Correct answer is 5.6x longer than distractors | FORMAT: Only correct answer contains punctuation
debugging-drills-4,Service returns 404 through Istio Gateway. Check?,Gateway listeners and VirtualService hosts/gateways match,Increase replicas service,Check database connection,Restart gateway pod service,1,LENGTH: Correct answer is 2.2x longer than distractors | SEMANTIC: Correct answer appears more comprehensive/complete
devops-ci-cd-0,What is CI/CD?,Computer Intelligence/Computer Design and extensions,CI/CD - automated testing and deployment,Code Inspection/Code Delivery,Central Intelligence/Central Database and extensions,2,FORMAT: Only correct answer contains technical notation
devops-ci-cd-1,What is Infrastructure as Code (IaC)?,Writing code about infrastructure,Managing infrastructure through code rather than manual processes,Infrastructure documentation,Building physical servers,2,LENGTH: Correct answer is 2.3x longer than distractors
devops-ci-cd-2,What is Blue-Green Deployment?,Deploying with colors,"Running two identical production environments, switching traffic between them",Environmental deployment,Deploying to blue or green servers,2,LENGTH: Correct answer is 2.9x longer than distractors | FORMAT: Only correct answer contains punctuation
devops-ci-cd-3,What is Canary Deployment?,Deploying to bird servers and extensions,Gradually rolling out changes to a small subset of users before full deployment,A configuration management tool,Emergency deployment,2,LENGTH: Correct answer is 2.6x longer than distractors
devops-ci-cd-4,What is GitOps?,A project management system,Using Git as the single source of truth for declarative infrastructure and applications,A continuous integration tool and associated utilities,A documentation generator,2,"LENGTH: Correct answer is 2.5x longer than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
docker-commands-drills-1,See real-time container resource usage?,docker stats,A serverless function,A serverless function,A serverless function,1,"LENGTH: Correct answer is 0.6x shorter than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
docker-compose-drills-0,Scale service to 3 replicas?,Docker-compose up --scale web=3 and extensions,Docker-compose scale web=3,Both A and B work,Docker-compose replicate web 3,3,"LENGTH: Correct answer is 0.5x shorter than distractors | FORMAT: Distractors all start with 'Docker-compose', correct doesn't"
docker-compose-drills-1,"See logs from all services, following?",Docker-compose logs -f,Docker-compose logs --follow and extensions,Docker-compose logs --tail,Both A and B,4,"LENGTH: Correct answer is 0.4x shorter than distractors | FORMAT: Distractors all start with 'Docker-compose', correct doesn't"
docker-compose-drills-2,Rebuild images before starting?,Docker-compose up --build and extensions,Docker-compose build && docker-compose up and extensions,Both work,Docker-compose rebuild and extensions,3,"LENGTH: Correct answer is 0.2x shorter than distractors | FORMAT: Distractors all start with 'Docker-compose', correct doesn't"
docker-compose-drills-5,Override compose file for production?,Docker-compose -f docker-compose.yml -f docker-compose.prod.yml up,Docker-compose --env production up,Docker-compose up --production,Edit the main file,1,LENGTH: Correct answer is 2.4x longer than distractors | FORMAT: Only correct answer contains punctuation
docker-compose-drills-6,Share code with container for development?,A cloud deployment unit and extensions,Volumes: - type: bind source: . target: /app and extensions,Both A and B work,A lightweight virtual machine and extensions,3,LENGTH: Correct answer is 0.4x shorter than distractors
docker-networking-drills-0,Create custom bridge network?,docker network create --driver bridge mynet,docker network add mynet,docker create network mynet,docker network new mynet,1,LENGTH: Correct answer is 1.7x longer than distractors
docker-networking-drills-4,Container in 'host' network mode means?,Container shares host's network namespace,Container is isolated from network,Container gets public IP,Container is in DMZ,1,LENGTH: Correct answer is 1.6x longer than distractors
docker-networking-drills-5,Debug network connectivity between containers?,Docker exec <container> ping <other-container> and extensions,Docker network inspect <network>,Docker exec <container> nslookup <other-container>,All are useful,4,"LENGTH: Correct answer is 0.3x shorter than distractors | FORMAT: Distractors all start with 'Docker', correct doesn't"
docker-networking-drills-6,Macvlan network use case?,Container needs to appear as physical host on network,A content management system,Default for most containers,995,1,LENGTH: Correct answer is 2.8x longer than distractors
docker-security-drills-1,Drop all capabilities except NET_BIND_SERVICE?,Docker run --cap-drop=ALL --cap-add=NET_BIND_SERVICE <image>,Docker run --capabilities=NET_BIND_SERVICE <image> with integrated features,Docker run --primarily-cap=NET_BIND_SERVICE <image>,Docker run --security=minimal <image> service,1,FORMAT: Only correct answer contains technical notation
docker-security-drills-3,Prevent container from gaining new privileges?,docker run --security-opt=no-new-privileges <image>,docker run --no-privilege-escalation <image>,docker run --secure <image>,docker run --locked <image>,1,LENGTH: Correct answer is 1.6x longer than distractors
docker-security-drills-4,Secret management best practice?,"Never in Dockerfile, use runtime secrets or build args for build-time",Store in environment variables in Dockerfile,An application binary,Use .env file in image,1,LENGTH: Correct answer is 2.4x longer than distractors
docker-security-drills-5,Network isolation between containers?,"Use custom bridge networks, not default bridge and extensions",Use --network=few for complete isolation and extensions,Use --icc=false on custom bridge and extensions,All are valid approaches,4,"LENGTH: Correct answer is 0.4x shorter than distractors | FORMAT: Distractors all start with 'Use', correct doesn't"
docker-security-drills-6,Limit container CPU to 0.5 cores?,Docker run --cpus=0.5 <image> and extensions,Docker run --cpu-quota=50000 <image> and extensions,Both A and B work,Docker run --cpu-limit=0.5 <image>,3,"LENGTH: Correct answer is 0.4x shorter than distractors | FORMAT: Distractors all start with 'Docker', correct doesn't"
dockerfile-optimization-drills-0,Reduce Docker image size - which strategy is MOST effective?,Use alpine base images,Multi-stage builds with minimal final stage,Delete files after installing,A continuous integration tool,2,LENGTH: Correct answer is 1.6x longer than distractors
dockerfile-optimization-drills-2,Best practice for apt-get in Dockerfile?,RUN apt-get update && apt-get install -y package && rm -rf /var/lib/apt/lists/*,RUN apt-get update\nRUN apt-get install package,RUN apt-get install package,RUN sudo apt-get install package,1,LENGTH: Correct answer is 2.2x longer than distractors | SEMANTIC: Multiple distractors use absolute terms (often wrong)
dockerfile-optimization-drills-3,Optimize COPY operations for better caching?,COPY . . at the beginning,"Copy requirements first, install deps, then copy source code",Multiple COPY commands for each file,COPY everything in one command,2,LENGTH: Correct answer is 2.0x longer than distractors
dockerfile-optimization-drills-4,Security: Don't run as root. Correct Dockerfile snippet?,A network routing protocol and related standards,RUN useradd -m appuser && USER appuser,RUN adduser --disabled-password --gecos '' appuser && USER appuser and extensions,Both B and C are valid,4,LENGTH: Correct answer is 0.4x shorter than distractors
dockerfile-optimization-drills-5,Multi-stage build for Go app - final stage FROM?,A code packaging format,A monitoring and logging platform,FROM scratch,A lightweight virtual machine,3,"LENGTH: Correct answer is 0.4x shorter than distractors | FORMAT: Only correct answer contains technical notation; Distractors all start with 'A', correct doesn't"
dockerfile-optimization-drills-6,.dockerignore should include?,".git, node_modules, .env, **/*.log, .DS_Store",A continuous integration tool,A source code repository,"Nothing, include everything",1,LENGTH: Correct answer is 1.7x longer than distractors
eso-vault-drills-0,Quick: Check if External Secrets Operator is syncing?,kubectl get externalsecrets,kubectl get externalsecret <name> -o jsonpath='{.status.conditions}',6379,kubectl logs deployment/eso,2,LENGTH: Correct answer is 3.5x longer than distractors | FORMAT: Only correct answer contains punctuation
eso-vault-drills-1,ESO sync interval: How to make it sync every 30 seconds?,Set annotations refresh=30,spec.refreshInterval: 30s in ExternalSecret,Configure in SecretStore,TCP is newer than UDP,2,LENGTH: Correct answer is 1.8x longer than distractors | FORMAT: Only correct answer contains punctuation
eso-vault-drills-2,Vault + ESO auth chain: What's the correct order?,ExternalSecret → Vault → SecretStore → Pod,SecretStore authenticates to Vault → ExternalSecret references SecretStore → Creates K8s Secret → Pod mounts,Pod → Vault → Secret,Direct Vault access from pods,2,LENGTH: Correct answer is 3.6x longer than distractors
eso-vault-drills-3,Secret not appearing in pod env. Check sequence?,1) ExternalSecret status 2) K8s Secret exists 3) Deployment envFrom/volumeMount 4) Pod restart if needed,Just restart the pod,Check Vault UI primarily,Delete and recreate everything,1,LENGTH: Correct answer is 4.2x longer than distractors
eso-vault-drills-4,Command to verify K8s Secret was created by ESO?,Kubectl describe secret <name> | grep 'managed-by',Vault kv get secret/<name> and extensions,Kubectl get secret <name> -o yaml | grep annotations and extensions,Both A and C,4,LENGTH: Correct answer is 0.2x shorter than distractors
feature-flags-drills-0,OpenFeature SDK initialization - minimum code?,const client = new OpenFeature(),OpenFeature.setProvider; const client = OpenFeature.getClient,import OpenFeature from 'openfeature',A database query protocol,2,LENGTH: Correct answer is 1.9x longer than distractors | FORMAT: Only correct answer contains punctuation
feature-flags-drills-1,Unleash seed job: How to make idempotent?,Delete most flags first,"Use PUT/PATCH, handle 409 conflicts, check existing before create",22,8443,2,LENGTH: Correct answer is 6.7x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation | SEMANTIC: Correct answer appears more comprehensive/complete | OBVIOUS: 2 distractors seem unrelated to question
feature-flags-drills-2,Quick rollback of bad feature flag?,Redeploy application,Toggle flag off in Unleash UI/API → Takes effect immediately,A database management system,A database replication service,2,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains technical notation
feature-flags-drills-3,Feature flag evaluation: What context to pass?,995,"userId, tenantId, environment, custom attributes for targeting",Just boolean true/false,primarily environment name,2,LENGTH: Correct answer is 3.6x longer than distractors | FORMAT: Only correct answer contains punctuation
frontend-architecture-0,What is Component-Based Architecture?,Using computer components and extensions,"Building UIs with reusable, self-contained components with their own state and logic",A web application framework,Building everything in one file and extensions,2,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
frontend-architecture-1,What is State Management in frontend applications?,A network monitoring tool,Centralized handling of application data and UI state across components,primarily using localStorage and extensions,Database management and extensions,2,LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains technical notation
frontend-architecture-2,What is Server-Side Rendering (SSR)?,Rendering on the server's screen,Generating HTML on the server before sending to the client,primarily backend development,Client-side JavaScript,2,LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains technical notation
frontend-architecture-3,What is a Single Page Application (SPA)?,A protocol for email transmission,A Web app loads once and dynamically updates content without page refreshes,A network routing protocol,A landing page,2,LENGTH: Correct answer is 3.1x longer than distractors
frontend-architecture-4,What is Micro-Frontend Architecture?,Very small frontends,Breaking frontend into independently deployable modules owned by teams,Using microservices in frontend,Mobile-primarily architecture,2,LENGTH: Correct answer is 2.6x longer than distractors
frontend-architecture-5,What is the Virtual DOM?,A protocol for email transmission,An in-memory representation of the real DOM for efficient updates,A network routing protocol,DOM in virtual reality,2,LENGTH: Correct answer is 2.4x longer than distractors
frontend-architecture-6,What is Code Splitting?,Breaking code files,Dividing code into chunks loaded on demand to reduce initial bundle size,Splitting code between developers,Using multiple programming languages,2,LENGTH: Correct answer is 2.5x longer than distractors
gcp-essentials-drills-2,Cloud Storage classes?,"Standard, Nearline, Coldline, Archive",primarily Standard and Archive,A load balancing service,Based on region primarily,1,FORMAT: Only correct answer contains punctuation
gcp-essentials-drills-3,BigQuery vs Bigtable vs Firestore?,Analytics warehouse vs Wide-column NoSQL vs Document DB,most SQL (Structured Query Language) databases,most NoSQL (Structured Query Language),BigQuery replaces others,1,LENGTH: Correct answer is 1.5x longer than distractors
gcp-essentials-drills-4,Cloud Pub/Sub vs Cloud Tasks?,"Pub/Sub: streaming, Tasks: async task execution",A container orchestration service,Tasks replaces Pub/Sub,A database hosting solution,1,LENGTH: Correct answer is 1.7x longer than distractors | FORMAT: Only correct answer contains punctuation
gcp-essentials-drills-5,GKE Autopilot vs Standard?,"Autopilot: Google manages nodes, Standard: you manage",993,Standard is serverless,Autopilot deprecated,1,LENGTH: Correct answer is 3.5x longer than distractors | FORMAT: Only correct answer contains punctuation
gcp-essentials-drills-6,Cloud Load Balancing types?,Global vs Regional,primarily HTTP (HyperText Transfer Protocol)/S,A source control service,A container platform,1,LENGTH: Correct answer is 0.6x shorter than distractors
http-headers-1,"Which header tells caches which request headers affect a response (i.e., establishes cache key variation)?",Vary,6379,A network routing protocol,8080,1,LENGTH: Correct answer is 0.4x shorter than distractors | OBVIOUS: 2 distractors seem unrelated to question
